#id	gene	chrom	chromStart	chromEnd	strand
cg05181565	AL645728.1,SSU72	chr1	1574491	1574493	-
cg20755353	AL645728.1,SSU72	chr1	1575502	1575504	-
cg18241160	CDK11B,FO704657.1	chr1	1658454	1658456	-
cg00669623	AL031282.1,AL031282.2;CDK11A	chr1	1724427	1724429	-
cg01738944	SLC35E2A	chr1	1745833	1745835	+
cg17990871	SLC35E2A	chr1	1746238	1746240	+
cg03716942	AL109917.1,GNB1	chr1	1890541	1890543	-
cg12150066	AL109917.1,GNB1	chr1	1891865	1891867	-
cg10943191	TMEM52	chr1	1918974	1918976	+
cg24087944	GABRD	chr1	2018671	2018673	-
cg06063714	GABRD	chr1	2020074	2020076	-
cg21137823	AL391845.1,PRKCZ	chr1	2049830	2049832	+
cg24035370	AL391845.1,PRKCZ	chr1	2050994	2050996	-
cg24649713	FAAP20	chr1	2194539	2194541	+
cg05940463	FAAP20	chr1	2195201	2195203	-
cg06382459	SKI	chr1	2227933	2227935	+
cg23207616	MORN1,RER1	chr1	2391387	2391389	+
cg13014406	MORN1,RER1	chr1	2392430	2392432	-
cg03533858	MORN1,RER1	chr1	2392956	2392958	+
cg23739036	PEX10	chr1	2412296	2412298	-
cg20664247	PEX10	chr1	2414035	2414037	+
cg20103201	PANK4	chr1	2526581	2526583	-
cg09044743	PANK4	chr1	2526798	2526800	-
cg27285616	TNFRSF14,TNFRSF14-AS1	chr1	2555670	2555672	-
cg05360220	TNFRSF14,TNFRSF14-AS1	chr1	2556596	2556598	-
cg05610148	PRXL2B	chr1	2585985	2585987	-
cg11452360	PRXL2B	chr1	2587168	2587170	-
cg04716261	ACTRT2	chr1	3021434	3021436	-
cg14365123	ACTRT2	chr1	3021681	3021683	-
cg08528984	PRDM16,PRDM16-DT	chr1	3068653	3068655	-
cg08537652	PRDM16,PRDM16-DT	chr1	3069797	3069799	+
cg02737335	ARHGEF16	chr1	3463319	3463321	-
cg24919884	ARHGEF16	chr1	3463723	3463725	-
cg07453618	AL513320.1,TPRG1L	chr1	3624517	3624519	-
cg10074513	AL513320.1,TPRG1L	chr1	3625091	3625093	+
cg13501117	WRAP73	chr1	3650012	3650014	+
cg19135761	WRAP73	chr1	3650649	3650651	+
cg26128092	WRAP73	chr1	3650985	3650987	-
cg04391111	TP73,WRAP73	chr1	3651439	3651441	-
cg00565688	TP73,WRAP73	chr1	3651647	3651649	-
cg25885108	TP73,WRAP73	chr1	3652104	3652106	+
cg19783114	TP73,WRAP73	chr1	3652481	3652483	-
cg16741710	TP73,WRAP73	chr1	3652821	3652823	+
cg05924583	TP73,WRAP73	chr1	3653059	3653061	-
cg03568718	TP73,TP73-AS3	chr1	3663308	3663310	-
cg21906716	TP73,TP73-AS3	chr1	3663413	3663415	+
cg25115460	TP73	chr1	3690545	3690547	+
cg16607065	TP73	chr1	3690657	3690659	-
cg03846767	TP73	chr1	3690727	3690729	-
cg26208930	TP73	chr1	3690860	3690862	-
cg08670691	CCDC27	chr1	3752377	3752379	-
cg10051054	CCDC27	chr1	3752607	3752609	-
cg14550570	LRRC47	chr1	3796423	3796425	-
cg19148051	LRRC47	chr1	3796531	3796533	-
cg14213620	CEP104,DFFB	chr1	3857344	3857346	+
cg25762395	C1orf174,LINC01134	chr1	3900277	3900279	-
cg09633588	C1orf174,LINC01134	chr1	3900451	3900453	-
cg20959866	AJAP1	chr1	4653947	4653949	+
cg17525406	AJAP1	chr1	4655459	4655461	+
cg13614083	KCNAB2	chr1	6025811	6025813	-
cg19814116	KCNAB2	chr1	6026387	6026389	+
cg08080029	AL031847.1,CHD5	chr1	6179909	6179911	-
cg00282347	AL031847.1,CHD5	chr1	6180979	6180981	-
cg23323711	AL031847.1,RPL22	chr1	6199084	6199086	+
cg14303330	RPL22	chr1	6199844	6199846	-
cg19180828	RNF207,RNF207-AS1;RPL22	chr1	6205159	6205161	-
cg03716999	RNF207,RNF207-AS1;RPL22	chr1	6205741	6205743	-
cg00030047	RNF207,RPL22	chr1	6208729	6208731	+
cg15731815	RNF207,RPL22	chr1	6209199	6209201	+
cg17145806	ICMT,LINC00337	chr1	6235476	6235478	+
cg17992056	ICMT,LINC00337	chr1	6236274	6236276	+
cg06940574	ICMT,LINC00337	chr1	6237067	6237069	-
cg15341760	LINC00337	chr1	6237829	6237831	-
cg14958889	GPR153	chr1	6260410	6260412	-
cg21927975	GPR153	chr1	6260696	6260698	+
cg04055049	GPR153	chr1	6261492	6261494	+
cg14566624	GPR153	chr1	6261521	6261523	+
cg17236617	ACOT7,AL031848.2	chr1	6394141	6394143	-
cg25165880	ACOT7,AL031848.2	chr1	6394265	6394267	-
cg09549827	ESPN,HES2	chr1	6424555	6424557	-
cg13066963	ESPN,HES2	chr1	6425256	6425258	+
cg02084087	TNFRSF25	chr1	6465988	6465990	+
cg06859828	TNFRSF25	chr1	6466657	6466659	+
cg22805308	PLEKHG5	chr1	6519854	6519856	+
cg04818845	PLEKHG5	chr1	6520106	6520108	+
cg07274506	NOL9,TAS1R1	chr1	6554280	6554282	+
cg05086993	NOL9,TAS1R1	chr1	6554603	6554605	-
cg14186992	TAS1R1,ZBTB48	chr1	6579509	6579511	+
cg09143576	ZBTB48	chr1	6580088	6580090	+
cg06066711	KLHL21	chr1	6602584	6602586	+
cg19884658	KLHL21	chr1	6604207	6604209	-
cg06778853	KLHL21,PHF13	chr1	6612559	6612561	+
cg08661290	KLHL21,PHF13	chr1	6614049	6614051	-
cg11688219	THAP3	chr1	6624858	6624860	+
cg02904365	DNAJC11	chr1	6701318	6701320	+
cg20668607	DNAJC11	chr1	6702196	6702198	+
cg03630344	VAMP3	chr1	7771095	7771097	-
cg06487986	PER3	chr1	7783503	7783505	+
cg25514503	PER3	chr1	7785009	7785011	+
cg10500283	UTS2	chr1	7853020	7853022	+
cg20625138	UTS2	chr1	7853606	7853608	+
cg08840010	TNFRSF9	chr1	7940253	7940255	-
cg23959705	AL009183.1,TNFRSF9	chr1	7942241	7942243	-
cg17425224	PARK7	chr1	7961189	7961191	+
cg25007680	PARK7	chr1	7961760	7961762	+
cg19560758	AL034417.2,ERRFI1	chr1	8026660	8026662	-
cg11283860	LINC01714	chr1	8213291	8213293	+
cg11832727	RERE	chr1	8817197	8817199	+
cg08341978	RERE	chr1	8818167	8818169	-
cg07483064	ENO1,ENO1-AS1	chr1	8878691	8878693	-
cg12711814	ENO1,ENO1-AS1	chr1	8879469	8879471	+
cg02981703	CA6	chr1	8945674	8945676	+
cg25919221	CA6	chr1	8946620	8946622	+
cg16084788	SLC2A7	chr1	9026086	9026088	-
cg24027679	SLC2A7	chr1	9026561	9026563	+
cg03679305	SLC2A5	chr1	9069427	9069429	-
cg24480859	SLC2A5	chr1	9069731	9069733	+
cg17940013	GPR157	chr1	9128628	9128630	-
cg10429262	GPR157	chr1	9129447	9129449	-
cg22601917	H6PD	chr1	9234214	9234216	+
cg25284492	H6PD	chr1	9235372	9235374	+
cg16290693	SPSB1	chr1	9292892	9292894	+
cg13724813	SPSB1	chr1	9293254	9293256	+
cg18783781	SLC25A33	chr1	9539007	9539009	-
cg13631913	SLC25A33	chr1	9540285	9540287	+
cg20994801	PIK3CD	chr1	9651339	9651341	+
cg23166362	PIK3CD	chr1	9651906	9651908	-
cg23508540	CLSTN1	chr1	9823973	9823975	+
cg26985289	CLSTN1	chr1	9824563	9824565	+
cg10740965	CTNNBIP1	chr1	9909588	9909590	-
cg27308387	CTNNBIP1	chr1	9910934	9910936	-
cg15226751	AL357140.2,LZIC	chr1	9941852	9941854	+
cg04413397	AL357140.2,LZIC;NMNAT1	chr1	9943000	9943002	+
cg01929105	AL357140.2,LZIC;NMNAT1	chr1	9943513	9943515	-
cg03406535	RBP7	chr1	9996898	9996900	-
cg25397076	RBP7	chr1	9997246	9997248	-
cg08151470	UBE4B	chr1	10032240	10032242	+
cg11846543	KIF1B	chr1	10209957	10209959	+
cg06615861	KIF1B	chr1	10211132	10211134	-
cg23036555	PGD	chr1	10398774	10398776	+
cg14718680	PGD	chr1	10399210	10399212	-
cg09242541	AL139424.1,CENPS;CENPS-CORT	chr1	10429967	10429969	+
cg07894717	CENPS-CORT,CORT	chr1	10448540	10448542	-
cg04256470	CENPS-CORT,CORT	chr1	10450407	10450409	-
cg15452426	DFFA,PEX14	chr1	10472172	10472174	+
cg11843760	DFFA,PEX14	chr1	10472619	10472621	+
cg20739510	PEX14	chr1	10474751	10474753	-
cg15031780	PEX14	chr1	10475527	10475529	+
cg10891879	CASZ1	chr1	10693716	10693718	+
cg09456939	CASZ1	chr1	10694282	10694284	-
cg05352668	C1orf127	chr1	10963698	10963700	+
cg00912942	C1orf127	chr1	10964426	10964428	-
cg00692549	AL109811.3,TARDBP	chr1	11012397	11012399	-
cg15482690	AL109811.3,TARDBP	chr1	11012684	11012686	+
cg12888113	MASP2	chr1	11046990	11046992	+
cg18023080	MASP2	chr1	11047326	11047328	-
cg21379816	SRM	chr1	11059570	11059572	-
cg21099221	SRM	chr1	11060516	11060518	-
cg23731764	EXOSC10,EXOSC10-AS1	chr1	11099711	11099713	-
cg03617456	EXOSC10,EXOSC10-AS1	chr1	11100147	11100149	-
cg04508649	ANGPTL7,MTOR	chr1	11188988	11188990	+
cg21223353	ANGPTL7,MTOR	chr1	11189481	11189483	-
cg07029998	MTOR	chr1	11262133	11262135	+
cg11858029	NA	chr1	11264349	11264351	-
cg15746187	FBXO2,FBXO44	chr1	11653065	11653067	-
cg06848073	FBXO2,FBXO44	chr1	11653482	11653484	+
cg01420388	FBXO2,FBXO44	chr1	11654196	11654198	+
cg10667970	FBXO6	chr1	11663999	11664001	+
cg06963844	FBXO6	chr1	11664180	11664182	+
cg17189494	MAD2L2	chr1	11680607	11680609	+
cg07789904	MAD2L2	chr1	11681783	11681785	+
cg13796218	DRAXIN,MAD2L2	chr1	11690605	11690607	+
cg06630737	DRAXIN,MAD2L2	chr1	11692051	11692053	-
cg20164720	AGTRAP	chr1	11736005	11736007	+
cg17350448	AGTRAP	chr1	11736239	11736241	+
cg05228408	CLCN6,MTHFR	chr1	11805294	11805296	+
cg01226883	CLCN6,MTHFR	chr1	11805584	11805586	+
cg01134491	CLCN6,MTHFR	chr1	11805731	11805733	+
cg27012203	CLCN6,MTHFR	chr1	11805862	11805864	-
cg02978542	CLCN6,MTHFR	chr1	11806027	11806029	+
cg23226134	CLCN6,MTHFR	chr1	11806331	11806333	+
cg14472778	CLCN6,MTHFR	chr1	11807250	11807252	+
cg03427831	CLCN6,MTHFR	chr1	11807395	11807397	+
cg06584407	AL021155.1,CLCN6;NPPA	chr1	11847266	11847268	+
cg20202438	CLCN6,NPPA	chr1	11847928	11847930	+
cg14506552	NPPB	chr1	11858896	11858898	+
cg22927043	NPPB	chr1	11859641	11859643	-
cg11345438	KIAA2013	chr1	11926339	11926341	-
cg04313552	KIAA2013	chr1	11926656	11926658	-
cg11469137	PLOD1	chr1	11934327	11934329	+
cg23286660	PLOD1	chr1	11935032	11935034	-
cg05523254	AL096840.2,MFN2	chr1	11980157	11980159	-
cg09306577	AL096840.2,MFN2	chr1	11980819	11980821	+
cg15770654	AL096840.1,MIIP	chr1	12018763	12018765	+
cg23355725	MIIP	chr1	12019918	12019920	-
cg19896198	TNFRSF8	chr1	12063204	12063206	-
cg17897879	TNFRSF8	chr1	12063379	12063381	-
cg13836770	MIR7846,TNFRSF1B	chr1	12166855	12166857	+
cg26189983	TNFRSF1B	chr1	12167642	12167644	-
cg09229231	DHRS3	chr1	12617257	12617259	-
cg01346152	DHRS3	chr1	12618754	12618756	-
cg18839416	C1orf158	chr1	12745900	12745902	-
cg24338843	C1orf158	chr1	12746718	12746720	+
cg18807515	PRAMEF2	chr1	12856460	12856462	+
cg03891191	PRAMEF2	chr1	12857142	12857144	+
cg09196942	PRAMEF13	chr1	13201334	13201336	+
cg05372736	PRAMEF14	chr1	13347748	13347750	-
cg10743104	PDPN	chr1	13583710	13583712	+
cg18877506	PDPN	chr1	13584059	13584061	+
cg25402049	PRDM2	chr1	13703379	13703381	+
cg12379145	PRDM2	chr1	13704115	13704117	-
cg25450806	PRDM2	chr1	13704887	13704889	-
cg19324313	PRDM2	chr1	13705708	13705710	+
cg17657618	KAZN	chr1	15101157	15101159	+
cg21045388	KAZN	chr1	15101675	15101677	-
cg20375690	TMEM51,TMEM51-AS1	chr1	15152401	15152403	-
cg24535573	TMEM51,TMEM51-AS1	chr1	15152464	15152466	+
cg15319451	TMEM51,TMEM51-AS1	chr1	15154251	15154253	+
cg05385377	TMEM51,TMEM51-AS1	chr1	15154347	15154349	+
cg22269795	AL031283.1,EFHD2	chr1	15409468	15409470	-
cg25741794	AL031283.1,EFHD2	chr1	15410502	15410504	-
cg23064554	CTRC	chr1	15437598	15437600	-
cg20858526	CTRC	chr1	15438568	15438570	+
cg15952725	CELA2A	chr1	15456694	15456696	+
cg05221264	CELA2A	chr1	15457017	15457019	-
cg25021182	CELA2B	chr1	15476098	15476100	+
cg24030609	CELA2B	chr1	15476115	15476117	-
cg02612026	CASP9	chr1	15523960	15523962	+
cg21449655	CASP9	chr1	15524948	15524950	-
cg11706911	AGMAT,DNAJC16	chr1	15584493	15584495	-
cg17385448	AGMAT,DNAJC16	chr1	15585206	15585208	+
cg09559551	DDI2,RSC1A1	chr1	15659749	15659751	-
cg16713727	AL450998.2,SLC25A34	chr1	15736224	15736226	+
cg15616400	AL450998.2,SLC25A34	chr1	15736398	15736400	-
cg07846167	FBLIM1	chr1	15758262	15758264	+
cg23002761	FBLIM1	chr1	15759146	15759148	-
cg10274502	FLJ37453,SPEN	chr1	15847263	15847265	+
cg15500658	FLJ37453,SPEN	chr1	15848114	15848116	+
cg07437033	ZBTB17	chr1	15975736	15975738	+
cg08887581	SRARP	chr1	16004220	16004222	+
cg24525573	SRARP	chr1	16004288	16004290	+
cg27210447	CLCNKA	chr1	16022353	16022355	-
cg13770446	CLCNKA	chr1	16023296	16023298	-
cg21660130	CLCNKB	chr1	16043747	16043749	+
cg15415507	AL451042.2,EPHA2	chr1	16156057	16156059	-
cg15146752	AL451042.2,EPHA2	chr1	16156271	16156273	-
cg18669381	ARHGEF19	chr1	16212592	16212594	-
cg27298878	CPLANE2	chr1	16236902	16236904	-
cg05588972	CPLANE2	chr1	16237359	16237361	+
cg26845278	SPATA21	chr1	16437175	16437177	+
cg16011258	NECAP2	chr1	16440525	16440527	+
cg07459264	NECAP2	chr1	16440830	16440832	-
cg21958034	CROCCP2,MST1P2	chr1	16645867	16645869	-
cg08477744	AL049569.1,MFAP2	chr1	16981536	16981538	+
cg18679190	AL049569.1	chr1	16982285	16982287	+
cg12999103	AL049569.3,ATP13A2	chr1	17011346	17011348	+
cg11192270	AL049569.3,ATP13A2	chr1	17012148	17012150	+
cg24305835	SDHB	chr1	17054089	17054091	-
cg03861428	SDHB	chr1	17054206	17054208	-
cg19282714	PADI2	chr1	17119433	17119435	-
cg15185794	PADI2	chr1	17119591	17119593	-
cg17502536	PADI1	chr1	17204519	17204521	-
cg22193702	PADI1	chr1	17204937	17204939	+
cg01459162	PADI3	chr1	17247834	17247836	+
cg12858514	PADI3	chr1	17249111	17249113	-
cg23228178	PADI4	chr1	17307185	17307187	-
cg18333690	PADI4	chr1	17308220	17308222	-
cg01346589	RCC2	chr1	17439400	17439402	+
cg21243909	RCC2	chr1	17439726	17439728	+
cg05380570	ARHGEF10L	chr1	17540190	17540192	+
cg06687562	ACTL8	chr1	17755279	17755281	+
cg19685066	ACTL8	chr1	17755507	17755509	-
cg17945001	IGSF21	chr1	18107623	18107625	-
cg23349790	AL365209.1,IGSF21	chr1	18108081	18108083	-
cg13507429	KLHDC7A	chr1	18481055	18481057	+
cg14356550	KLHDC7A	chr1	18481607	18481609	-
cg07536847	PAX7	chr1	18630737	18630739	+
cg11428724	PAX7	chr1	18631137	18631139	+
cg18524091	TAS1R2	chr1	18859277	18859279	+
cg21731286	TAS1R2	chr1	18860310	18860312	+
cg18895413	ALDH4A1	chr1	18902121	18902123	-
cg21728447	ALDH4A1	chr1	18902623	18902625	-
cg00223950	EMC1-AS1,UBR4	chr1	19209727	19209729	-
cg10850580	EMC1-AS1,UBR4	chr1	19210620	19210622	+
cg18224761	EMC1,MRTO4	chr1	19250426	19250428	+
cg10748867	EMC1,MRTO4	chr1	19250541	19250543	-
cg18931421	EMC1,MRTO4	chr1	19251319	19251321	-
cg05688084	EMC1,MRTO4	chr1	19252310	19252312	+
cg23625458	AKR7L	chr1	19273646	19273648	-
cg11376198	AKR7L	chr1	19274235	19274237	-
cg07447773	AKR7A3	chr1	19288356	19288358	+
cg11233384	AKR7A3	chr1	19289207	19289209	-
cg06305312	AKR7A2,SLC66A1	chr1	19311835	19311837	+
cg15311933	AKR7A2,SLC66A1	chr1	19312402	19312404	+
cg23519022	CAPZB	chr1	19419709	19419711	-
cg13319175	CAPZB	chr1	19420069	19420071	-
cg19136075	MICOS10-NBL1,NBL1	chr1	19642390	19642392	-
cg21057046	MICOS10-NBL1,NBL1	chr1	19643709	19643711	-
cg22614355	HTR6	chr1	19664743	19664745	+
cg10741760	HTR6	chr1	19665530	19665532	-
cg19976467	TMCO4	chr1	19799674	19799676	+
cg21615127	TMCO4	chr1	19800381	19800383	-
cg04994456	AL391883.1,RNF186	chr1	19815168	19815170	+
cg09195271	AL391883.1,RNF186	chr1	19816003	19816005	+
cg16825000	PLA2G2E	chr1	19922936	19922938	+
cg24613957	PLA2G2E	chr1	19924190	19924192	+
cg22220722	PLA2G2A	chr1	19980147	19980149	+
cg11037787	PLA2G2A	chr1	19980508	19980510	+
cg19521927	PLA2G5	chr1	20068873	20068875	+
cg24335149	PLA2G5	chr1	20070580	20070582	-
cg14321743	PLA2G2D	chr1	20119168	20119170	-
cg07142319	PLA2G2D	chr1	20120163	20120165	+
cg16087263	PLA2G2F	chr1	20138724	20138726	+
cg11933267	PLA2G2F	chr1	20139638	20139640	-
cg03167763	PLA2G2C,UBXN10	chr1	20185903	20185905	-
cg06911113	PLA2G2C,UBXN10	chr1	20186123	20186125	+
cg00433406	VWA5B1	chr1	20290481	20290483	-
cg04637372	VWA5B1	chr1	20290962	20290964	+
cg08398233	CAMK2N1	chr1	20485147	20485149	+
cg12497298	MUL1	chr1	20508007	20508009	+
cg11904887	MUL1	chr1	20508308	20508310	-
cg26557658	FAM43B	chr1	20552293	20552295	-
cg20404387	FAM43B	chr1	20552802	20552804	-
cg13164309	NA	chr1	20571523	20571525	-
cg00750606	NA	chr1	20572627	20572629	-
cg23993660	MIR6084,PINK1	chr1	20633332	20633334	-
cg06612452	PINK1	chr1	20634183	20634185	+
cg03218019	DDOST	chr1	20661364	20661366	-
cg08911391	DDOST	chr1	20662096	20662098	-
cg15613048	KIF17	chr1	20717537	20717539	+
cg18486150	KIF17	chr1	20718380	20718382	-
cg13149996	EIF4G3	chr1	21111488	21111490	+
cg06819200	ECE1	chr1	21290147	21290149	-
cg22054164	ECE1	chr1	21291010	21291012	+
cg26885858	NBPF3	chr1	21439874	21439876	+
cg22190291	NBPF3	chr1	21440238	21440240	+
cg23352747	ALPL	chr1	21508942	21508944	-
cg20645065	ALPL	chr1	21509644	21509646	-
cg22396755	RAP1GAP	chr1	21668603	21668605	-
cg07138512	RAP1GAP	chr1	21669823	21669825	-
cg20956373	USP48	chr1	21783063	21783065	-
cg18325289	USP48	chr1	21783453	21783455	+
cg02729506	HSPG2	chr1	21936917	21936919	-
cg12274479	HSPG2	chr1	21938021	21938023	-
cg04584523	CELA3B	chr1	21976718	21976720	+
cg27069753	CELA3B	chr1	21977077	21977079	-
cg14238120	AL590556.3,CELA3A	chr1	22001532	22001534	-
cg10779183	AL590556.3,CELA3A	chr1	22001973	22001975	-
cg16268051	CDC42,CDC42-AS1	chr1	22052896	22052898	+
cg03133269	AL445253.1,WNT4	chr1	22142408	22142410	-
cg07180649	AL445253.1,WNT4	chr1	22143796	22143798	+
cg26870337	ZBTB40	chr1	22451178	22451180	+
cg15041659	ZBTB40	chr1	22452033	22452035	+
cg11847808	EPHA8	chr1	22563117	22563119	+
cg02194878	EPHA8	chr1	22563784	22563786	-
cg00108454	C1QA	chr1	22637120	22637122	-
cg25995460	C1QA	chr1	22637662	22637664	+
cg11393848	C1QC	chr1	22642846	22642848	-
cg00136477	C1QC	chr1	22643845	22643847	-
cg22477971	C1QB	chr1	22658100	22658102	+
cg03941108	C1QB	chr1	22659443	22659445	-
cg14271400	EPHB2	chr1	22710486	22710488	-
cg00650762	EPHB2	chr1	22710874	22710876	+
cg01718365	KDM1A	chr1	23019149	23019151	-
cg06958034	KDM1A	chr1	23019709	23019711	+
cg08872493	HTR1D	chr1	23194923	23194925	-
cg20887241	HTR1D	chr1	23196142	23196144	-
cg06449653	HNRNPR	chr1	23344283	23344285	+
cg01788438	HNRNPR	chr1	23344398	23344400	-
cg10347418	ZNF436	chr1	23367432	23367434	+
cg18273566	ZNF436,ZNF436-AS1	chr1	23368537	23368539	-
cg00269115	Y_RNA,ZNF436;ZNF436-AS1	chr1	23369036	23369038	+
cg17051623	ASAP3	chr1	23483756	23483758	-
cg11155265	ASAP3	chr1	23484951	23484953	+
cg23574449	E2F2	chr1	23530730	23530732	+
cg21211748	E2F2	chr1	23531542	23531544	+
cg22258437	ID3	chr1	23559515	23559517	-
cg19532954	ID3	chr1	23559917	23559919	-
cg22968727	RPL11	chr1	23691649	23691651	+
cg12090388	RPL11	chr1	23691865	23691867	+
cg02907300	ELOA,ELOA-AS1	chr1	23743158	23743160	+
cg22198425	ELOA,ELOA-AS1	chr1	23743712	23743714	+
cg22983885	ELOA-AS1,PITHD1	chr1	23777932	23777934	+
cg04667458	ELOA-AS1,PITHD1	chr1	23778828	23778830	+
cg03371205	LYPLA2	chr1	23791015	23791017	-
cg24409107	GALE	chr1	23800771	23800773	-
cg09930410	GALE	chr1	23801342	23801344	-
cg08673615	HMGCL	chr1	23825284	23825286	-
cg18888403	HMGCL	chr1	23826283	23826285	-
cg08366126	FUCA1	chr1	23868014	23868016	-
cg24792360	FUCA1	chr1	23868652	23868654	-
cg26151675	CNR2	chr1	23913578	23913580	+
cg18825999	PNRC2	chr1	23960039	23960041	+
cg15604008	SRSF10	chr1	23980491	23980493	-
cg26991199	SRSF10	chr1	23980662	23980664	+
cg09152089	IL22RA1	chr1	24143073	24143075	+
cg25946374	IL22RA1	chr1	24143300	24143302	-
cg08700651	IFNLR1	chr1	24186991	24186993	-
cg07509155	IFNLR1	chr1	24187921	24187923	+
cg15050111	GRHL3,GRHL3-AS1	chr1	24319359	24319361	+
cg16155382	GRHL3,GRHL3-AS1	chr1	24319700	24319702	-
cg13980834	STPG1	chr1	24401359	24401361	+
cg03140978	STPG1	chr1	24401636	24401638	-
cg02976090	NIPAL3,STPG1	chr1	24415758	24415760	+
cg02641560	RCAN3,RCAN3AS	chr1	24502320	24502322	-
cg02850329	RCAN3,RCAN3AS	chr1	24502964	24502966	-
cg11329235	SRRM1	chr1	24642768	24642770	+
cg10698549	SRRM1	chr1	24643478	24643480	+
cg10894102	CLIC4	chr1	24746091	24746093	-
cg02723372	RUNX3	chr1	24902090	24902092	+
cg25178645	RUNX3	chr1	24902195	24902197	+
cg14645650	RUNX3	chr1	24902309	24902311	+
cg27360282	RUNX3	chr1	24902430	24902432	+
cg18231267	RUNX3	chr1	24902607	24902609	+
cg04757093	RUNX3	chr1	24902700	24902702	-
cg18813928	RUNX3	chr1	24908014	24908016	-
cg00572797	RUNX3	chr1	24908087	24908089	-
cg08705994	RUNX3	chr1	24908157	24908159	-
cg23919867	RUNX3	chr1	24908214	24908216	-
cg00117172	RUNX3	chr1	24929346	24929348	-
cg06377278	RUNX3	chr1	24929877	24929879	+
cg22737001	RUNX3	chr1	24930537	24930539	+
cg24019564	RUNX3	chr1	24931074	24931076	+
cg03171924	RUNX3	chr1	24931840	24931842	-
cg14182690	RUNX3	chr1	24964455	24964457	+
cg13461622	RUNX3	chr1	24964893	24964895	+
cg06037693	RUNX3	chr1	24965580	24965582	-
cg16529592	RUNX3	chr1	24965723	24965725	+
cg21257635	AL031432.4,SYF2	chr1	25232426	25232428	-
cg17651255	AL031432.4,SYF2	chr1	25233251	25233253	-
cg12592463	AL031432.3,RSRP1	chr1	25247744	25247746	+
cg13488557	AL031432.3,RSRP1	chr1	25248096	25248098	-
cg06388544	RHD,RSRP1	chr1	25272386	25272388	-
cg21367040	AL928711.1,RSRP1;TMEM50A	chr1	25338365	25338367	+
cg24857721	RHCE	chr1	25420768	25420770	-
cg04631202	MAN1C1	chr1	25615968	25615970	+
cg05670408	MAN1C1	chr1	25617610	25617612	-
cg15156836	SELENON	chr1	25799923	25799925	+
cg21187265	SELENON	chr1	25800693	25800695	+
cg02327719	AL033528.2,AUNIP	chr1	25858894	25858896	+
cg16486059	AL033528.2,AUNIP	chr1	25859764	25859766	+
cg15662251	PAQR7	chr1	25871363	25871365	-
cg23799313	PAQR7	chr1	25871868	25871870	-
cg06453691	STMN1	chr1	25892011	25892013	+
cg04471507	MIR3917,STMN1	chr1	25906884	25906886	-
cg23323671	MIR3917,STMN1	chr1	25907131	25907133	-
cg04722168	PAFAH2	chr1	25998155	25998157	+
cg15547662	PAFAH2	chr1	25998331	25998333	+
cg18212039	EXTL1	chr1	26020320	26020322	-
cg04629204	EXTL1	chr1	26021833	26021835	-
cg05674944	AL391650.2,SLC30A2	chr1	26045798	26045800	+
cg07766612	AL391650.2,SLC30A2	chr1	26046395	26046397	-
cg16051685	TRIM63	chr1	26067591	26067593	+
